Row Number,Number of Rooms,Size (m²),Floor,Price,District,Address,Date,Latitude,Longitude,Link
41,3.0,122.1,12,46 500 000 〒,р-н Байконур," Сембинова 7 — Возле ЖК Каминного, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006047513
42,3.0,98.0,6,78 500 000 〒,Алматы р-н," Кошкарбаева 2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/761895056
43,4.0,141.9,10,90 000 000 〒,Сарыарка р-н," Желтоксан 2/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/697470354
44,2.0,61.7,10,35 500 000 〒,Есильский р-н," Мәңгілік Ел 19 — Керей Жанибек Хан, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007148106
45,1.0,34.6,,от 17 992 000 〒,Есильский р-н," Аль-Фараби 46/21, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002717223
46,3.0,75.0,3,97 000 000 〒,Толе би 54,"Толе би 54, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007153044
47,3.0,96.88,,от 72 950 640 〒,Есильский р-н," Хусейн бен Талал 37, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005837211
48,3.0,135.31,,от 117 855 010 〒,Есильский р-н," ул. Мангилик Ел, 57, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000673586
49,4.0,103.3,,от 52 683 000 〒,Есильский р-н," Е-779 32/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/762170355
50,4.0,105.0,18,90 000 000 〒,Есильский р-н," Кабанбай батыра 43В, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/694792675
51,3.0,68.0,5,47 000 000 〒,Нура р-н," Култегин 4 — Сыганак. Магазин Мечта. Ханшатыр, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006802071
52,3.0,88.4,9,48 800 000 〒,Алматы р-н," Тауелсиздик 38 — Б. Момышулы, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006379079
