Row Number,Number of Rooms,Size (m²),Floor,Price,District,Address,Date,Latitude,Longitude,Link
1141,1.0,43.3,9,17 000 000 〒,Алматы р-н," Трасса Астана-Караганда 23, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/761017638
1142,4.0,130.0,21,73 000 000 〒,Есильский р-н," Кабанбай батыра 11, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002562400
1143,3.0,85.0,7,39 000 000 〒,р-н Байконур," М. Габдуллина 19, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006667085
1144,3.0,91.0,12,70 000 000 〒,Нура р-н," Туран 34а — пр.Туран - ул.Сыганак, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007077511
1145,3.0,68.6,7,58 000 000 〒,Есильский р-н," Улица Жошы хан 17, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005154616
1146,1.0,39.0,7,39 999 999 〒,Есильский р-н," Керей, Жанибек хандар 44/3 — Сфера парк, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005084595
1147,3.0,115.99,6,118 000 000 〒,Есильский р-н," Акмешит 1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000848327
1148,2.0,40.0,12,27 500 000 〒,Сарыарка р-н," E-882 15, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006531538
1149,4.0,195.9,4,197 000 000 〒,Алматы р-н," Нажимеденова 14, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006225192
1150,2.0,47.0,8,25 500 000 〒,Нура р-н," Ермек Серкебаев 22, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007063747
1151,4.0,105.3,7,53 300 000 〒,р-н Байконур," Малика Габдуллина 12, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006889574
1152,2.0,31.0,9,19 000 000 〒,р-н Байконур," Иманова 41 — Иманова Жубанова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006423721
1153,3.0,75.0,23,28 500 000 〒,р-н Байконур," Абая 92/2 — проспект АБАЯ, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006156779
1154,2.0,64.0,17,41 000 000 〒,Есильский р-н," Бухар жырау 12/2, 12/3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006129177
1155,3.0,96.6,1,35 500 000 〒,Алматы р-н," Шакарим Кудайберды улы 17 — Находится на пересечении Шакарим Кудайберды улы и Рыскулбекова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004813349
1156,3.0,100.0,2,120 000 000 〒,Есильский р-н," Алихан Бокейхан 16/3, 16/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006870956
1157,3.0,72.0,6,72 000 000 〒,Есильский р-н," Сыганак 52/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007057961
1158,2.0,60.25,8,32 600 000 〒,Нура р-н," Е 103 5 — Mega silkway, Nazarbayev University, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004428896
1159,4.0,130.0,14,108 000 000 〒,Есильский р-н," Туран 39 — Достык, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005981873
1160,1.0,20.0,2,11 000 000 〒,Сарыарка р-н," Женис 75, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006463003
1161,2.0,48.0,16,24 200 000 〒,Есильский р-н," улы дала 55/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006746529
1162,2.0,42.2,14,20 900 000 〒,Есильский р-н," Алматы 13, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007009768
1163,2.0,80.0,7,43 000 000 〒,Есильский р-н," Керей и Жанибек хандар 22, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/680765035
1164,2.0,52.0,6,20 200 000 〒,Шакарим Кудайбердыулы 42,"Шакарим Кудайбердыулы 42, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005555083
1165,3.0,100.0,2,43 500 000 〒,Есильский р-н," Кабанбай батыра 2/6, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000295919
1166,2.0,52.0,2,32 900 000 〒,Есильский р-н," Е 826 2 — Шерхан Муртаза, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005528814
1167,3.0,97.6,4,36 500 000 〒,Алматы р-н," Бауыржан Момышулы 16, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003249263
1168,2.0,43.9,2,17 000 000 〒,Нура р-н," Укили Ыбырай 15, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006081439
1169,2.0,50.0,2,21 500 000 〒,Алматы р-н," Куйши Дина 46, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006960897
1170,1.0,38.7,11,30 800 000 〒,Нура р-н," Култегин 4А, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006749556
1171,1.0,36.19,5,25 900 000 〒,Нура р-н," Е-15 5, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006674575
1172,2.0,86.0,11,36 000 000 〒,Сарыарка р-н," Сарыарка 15, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006972202
1173,5.0,250.0,11,165 000 000 〒,Сарайшык р-н," Кошкарбаева 8, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006588686
1174,3.0,78.0,4,87 000 000 〒,Нура р-н," Толе би 52, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005964734
1175,4.0,89.3,2,28 500 000 〒,Алматы р-н," Актасты 12/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000632809
1176,1.0,37.6,3,26 600 000 〒,Нура р-н," Туран 57/5 — Возле БАРЫС АРЕНЫ, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006306933
1177,3.0,83.0,4,65 000 000 〒,Алматы р-н," ул. Тыныбаева 16, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760421050
1178,5.0,127.96,12,85 000 000 〒,Нура р-н," Сыганак 22/1 — Пересечение улиц Сыганак и Анет Баба, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007041003
1179,3.0,63.0,5,18 000 000 〒,Алматы р-н," Шалкоде 2/1 — Силикатный, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006453317
1180,2.0,38.5,4,23 500 000 〒,Сарайшык р-н," Сафуан Шаймерденов 4/1 — Нажимеденова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006981516
1181,4.0,92.0,18,85 000 000 〒,Нура р-н," Туран 39а — Туран-Сыганак, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005925001
1182,2.0,63.2,7,75 000 000 〒,Алматы р-н," Шамши Калдаякова 4 — Пирамида, ЛРТ, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006843232
1183,2.0,63.1,7,40 500 000 〒,Есильский р-н," Достык 13/1 — Туркестан, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005778540
1184,3.0,70.0,5,48 000 000 〒,Нура р-н," Е-15 13/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007005241
1185,2.0,68.0,,42 000 000 〒,Есильский р-н," проспект Аль-Фараби 12, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004902159
1186,3.0,63.0,5,18 000 000 〒,Сарайшык р-н," Шалкоде 2/1 — Ж/м Промышленный (Силикатный), Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006347433
1187,4.0,133.0,4,71 000 000 〒,Алматы р-н," Айнакол 66 — Нурмагамбетов, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006720930
1188,3.0,98.0,12,47 500 000 〒,Есильский р-н," Сыганак 2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003356340
1189,2.0,66.0,14,44 500 000 〒,Есильский р-н," Туркестан 4Б, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006678875
1190,1.0,42.6,,18 900 000 〒,Алматы р-н," Кудайберды Улы 29, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006165660
1191,2.0,75.9,11,36 500 000 〒,Сарайшык р-н," Пр. Кошкарбаева 56, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006781217
1192,2.0,51.4,2,25 500 000 〒,Алматы р-н," Жумабаева 11, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006905282
1193,2.0,55.35,6,35 000 000 〒,Нура р-н," Казыбек би 3/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006047447
1194,2.0,45.0,4,26 000 000 〒,Сарыарка р-н," Бейбарыс Султан 25/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006139569
1195,3.0,117.0,5,46 000 000 〒,Алматы р-н," Мустафина 5/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/692232338
1196,2.0,75.9,9,39 000 000 〒,Алматы р-н," Сатпаева 22 — Бауржан Момышулы и Сатпаева, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006366222
1197,1.0,41.0,12,32 000 000 〒,Есильский р-н," Улица Жошы хан 17, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004945027
1198,3.0,112.0,2,117 000 000 〒,Есильский р-н," Толе би 50, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005378228
1199,1.0,35.0,3,24 400 000 〒,Есильский р-н," Тауелсиздик 58 — ЖК Azure, Пирамида, Президентский парк, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006655270
1200,1.0,35.0,3,24 400 000 〒,Есильский р-н," Тауелсиздик 58 — 2025 года! Президентский парк, Пирамида, Музей РК, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006796811
1201,1.0,35.0,3,24 400 000 〒,Сарайшык р-н," Тауелсиздик 58 — Недалеко Пирамида, Государственный Музей РК, Президентский парк., Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005966567
1202,1.0,39.0,12,23 500 000 〒,Алматы р-н," Сафуан Шаймерденов 4/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005737791
1203,2.0,65.5,10,33 000 000 〒,Нура р-н," Е-36 4, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005773865
1204,2.0,79.24,2,68 000 000 〒,Есильский р-н," Турар Рыскулов 3 — Рыскулова/Кабанбай батыра, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005666945
1205,2.0,46.0,2,18 900 000 〒,р-н Байконур," Пр. Абая 59 — ТЦ Жаннур, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003425118
1206,1.0,14.0,3,6 500 000 〒,Шакен Айманова 20/1,"Шакен Айманова 20/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007008213
1207,3.0,108.0,5,45 000 000 〒,Нура р-н," Нуршаикова 6/1 — Айтматова Сыганак, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005912259
1208,1.0,30.0,4,20 000 000 〒,Есильский р-н," Аль-Фараби 31 — Улы Дала, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006760448
1209,3.0,100.0,4,75 500 000 〒,Нура р-н," Кабанбай Батыра 13 — Сарайшык Кабанбай, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006677751
1210,3.0,73.3,3,46 000 000 〒,Есильский р-н," мкр Шубар, Улы Дала 63, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006645269
1211,2.0,68.0,1,35 000 000 〒,Есильский р-н," Букейхан 21/5, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004941151
1212,1.0,34.5,7,23 500 000 〒,Янушкевича 10,"Янушкевича 10, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006659738
1213,2.0,50.0,14,43 000 000 〒,Сыганак 28,"Сыганак 28, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006889251
1214,4.0,110.0,1,53 000 000 〒,Алматы р-н," Рыскулбекова 7, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005346769
1215,2.0,57.0,5,23 000 000 〒,Нура р-н," Сыганак 1 — ТЦ Тумар, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006922240
1216,3.0,54.7,7,21 500 000 〒,Сарыарка р-н," Женис — Московская Женис, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003383662
1217,3.0,108.1,2,97 000 000 〒,Алматы р-н," Анатолий Храпатый 17/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760943634
1218,3.0,70.0,16,46 000 000 〒,Нура р-н," Култегин 17 — Омарова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007119774
1219,2.0,57.0,4,35 000 000 〒,Сарайшык р-н," Кошкарбаева — Кошкарбаева -Жумабаева, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002214288
1220,1.0,35.0,10,15 500 000 〒,Сарыарка р-н," Тлендиева — ТРЦ Рахмет, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/682182723
1221,3.0,111.7,5,55 500 000 〒,Алматы р-н," А-98 1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006857140
1222,2.0,76.1,3,37 000 000 〒,Есильский р-н," Сатпаева 18, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/51903256
1223,1.0,48.2,5,30 000 000 〒,Есильский р-н," Керей и Жанибек хандар 22 — Туркестан-Керей Жанибек хандар, район Ботанического сада, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006325521
1224,4.0,144.0,3,98 000 000 〒,р-н Байконур," Пр.Республики 6/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006633314
1225,4.0,98.0,2,41 000 000 〒,Есильский р-н," Сыганак 4, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003335979
1226,2.0,74.04,6,69 500 000 〒,Нура р-н," Туран 41, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006573875
1227,3.0,87.0,6,80 000 000 〒,Алматы р-н," Панфилова — Калдаякова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004260746
1228,2.0,64.0,7,33 900 000 〒,Есильский р-н," Казыбек би, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/672692028
1229,2.0,60.3,5,30 300 000 〒,Сарайшык р-н," Ахмет Байтурсынулы 16/3 — Нажимеденова УлыДала, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003743815
1230,2.0,45.0,3,18 500 000 〒,Нура р-н," Актамберды жырау 51 — Коргалжинское шоссе, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006715064
1231,2.0,70.1,4,36 000 000 〒,Сарыарка р-н," Шаймерден Косшыгулулы 6, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003695433
1232,3.0,107.3,13,48 500 000 〒,Алматы р-н," М. Габдуллина 11, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002320117
1233,2.0,68.5,15,30 600 000 〒,Сарыарка р-н," Степана Кубрина 23/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006586392
1234,2.0,51.0,6,42 999 999 〒,Есильский р-н," Сыганак 17П, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000293089
1235,3.0,90.0,8,50 000 000 〒,Алматы р-н," Таулсыздык 43/3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006909588
1236,3.0,126.0,13,59 000 000 〒,Алматы р-н," Калибек Куанышбаев Блок Б, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002491396
1237,3.0,108.0,3,75 000 000 〒,Нура р-н," Айтеке би 15, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004283103
1238,4.0,130.0,9,58 500 000 〒,р-н Байконур," Сембинова 9, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006291912
1239,3.0,78.8,7,47 990 000 〒,Нура р-н," Кайыма Мухамедханова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006430331
1240,2.0,56.0,7,25 500 000 〒,Алматы р-н," Мустафина 21/1 — Школа-лицей 64, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/694409344
1241,4.0,145.0,3,65 000 000 〒,Сарыарка р-н," Сарыарка 11, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002143711
1242,2.0,45.0,4,23 500 000 〒,Сарайшык р-н," Кордай 85, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006122256
1243,1.0,38.0,7,27 700 000 〒,Есильский р-н," Бухар Жырау 33, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007124705
1244,3.0,78.0,3,58 000 000 〒,Нура р-н," Казыбек би 7/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006856783
1245,3.0,132.7,3,64 000 000 〒,Есильский р-н," Динмухаммед Кунаев 12, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005743594
1246,1.0,40.0,1,20 000 000 〒,Сарыарка р-н," проспект Женис 43/3 — Богенбая, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/682577499
1247,2.0,73.0,7,62 000 000 〒,Есильский р-н," Манглик Ел 48 — А. Бокейхан, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007041221
1248,3.0,93.0,24,72 000 000 〒,Сарайшык р-н," Нажимеденова 4, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005206596
1249,3.0,118.0,7,64 000 000 〒,Сарыарка р-н," Кенесары 8 — Кенесары-Сарыарка, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006839211
1250,3.0,90.0,7,66 500 000 〒,Нура р-н," Е-15 13/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006757096
1251,2.0,50.0,3,23 500 000 〒,Продам. Республики 26 — Ул. Кенесары,"Продам. Республики 26 — Ул. Кенесары, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006485950
1252,1.0,35.0,8,20 500 000 〒,Нура р-н," Қазыбек би 35/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006178354
1253,2.0,70.0,5,48 000 000 〒,Нура р-н," Толе Би 35/1 — Туран Бухар Жырау, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760298489
1254,1.0,34.0,9,17 700 000 〒,Сарайшык р-н," Ахмет Байтурсынулы 39, 39/1, 39/2, 39/3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004354826
1255,2.0,96.0,8,39 999 900 〒,р-н Байконур," Абая 63, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006233341
1256,3.0,106.0,18,64 900 000 〒,Есильский р-н," Мангилик Ел — ВИДОВАЯ, горячая цена, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006612939
1257,1.0,38.0,3,19 400 000 〒,Сарыарка р-н," Ермека Серкебаева 19/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006691202
1258,2.0,69.0,22,99 999 999 〒,Есильский р-н," мкр Комсомольский, ул Достык 1 а — Керуен, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760960632
1259,2.0,43.0,3,28 500 000 〒,Нура р-н," Е 430 улица 2/4, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006864176
1260,4.0,238.0,7,110 000 000 〒,Есильский р-н," Достык 13, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006891018
1261,2.0,50.0,14,43 000 000 〒,Сыганак 28,"Сыганак 28, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007005509
1262,2.0,42.0,3,14 200 000 〒,Алматы р-н," Маяковского 4А, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006735893
1263,3.0,89.0,2,55 500 000 〒,Нура р-н," Кайым Мухамедханов 12, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006365686
1264,2.0,68.0,1,33 000 000 〒,Нура р-н," Е 34 13 — Жк Baimura, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004627657
1265,3.0,82.0,5,44 000 000 〒,Сарыарка р-н," Агыбай батыра 2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004172905
1266,2.0,52.0,4,27 000 000 〒,р-н Байконур," Ташенова 10 — В золотом квадрате, напротив Турецкого и Российского посольства, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/685237458
1267,5.0,183.4,8,82 000 000 〒,Сарыарка р-н," Нажмиденова 16 А, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003653128
1268,3.0,137.4,4,85 700 000 〒,Сарыарка р-н," Агыбай батыра 2/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006356411
1269,4.0,147.0,10,135 000 000 〒,Есильский р-н," Алихана Бокейханова 11а — 25 улица, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005955737
1270,4.0,90.0,2,45 000 000 〒,Сарайшык р-н," Калдаякова 19, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006765521
1271,3.0,91.8,7,43 000 000 〒,Есильский р-н," Бухар жырау 32, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006411098
1272,1.0,22.0,1,14 500 000 〒,Сарыарка р-н," Женис 45/3 — Сарыарка Богенбая, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005790151
1273,4.0,130.0,9,83 500 000 〒,Есильский р-н," Керей и Жанибек хандар 22, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760051789
1274,4.0,140.0,5,127 000 000 〒,Есильский р-н," Улы Дала, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006853767
1275,2.0,81.0,3,49 000 000 〒,Сарыарка р-н," Кумисбекова 12/2 — Пересечение кумисбекова и сейфуллина, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006336247
1276,2.0,48.0,3,16 900 000 〒,р-н Байконур," Циолковского 3 — пр.Абая возле маг.12 МЕСЯЦЕВ, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006724169
1277,4.0,78.0,1,35 000 000 〒,Алматы р-н," Манаса 11/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760039620
1278,3.0,74.0,6,57 000 000 〒,Алматы р-н," Сагадат Нурмагамбетов 21, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006975339
1279,4.0,106.5,4,99 999 000 〒,Есильский р-н," Улы Дала 59, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006970793
1280,1.0,42.0,16,23 500 000 〒,Алматы р-н," Жургенова 19 — Байтурсынова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/761497171
1281,2.0,80.0,12,30 000 000 〒,Алматы р-н," Кошкарбаева 40, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007023229
1282,1.0,44.5,10,22 000 000 〒,Алматы р-н," Янушкевича 1/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005136978
1283,1.0,41.0,6,15 200 000 〒,Алматы р-н," Нажимеденова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006533653
1284,3.0,77.0,2,40 500 000 〒,Нура р-н," Санжара Асфендиярова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006380746
1285,2.0,38.6,2,29 900 000 〒,Нура р-н," Е-34 4, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006225730
1286,5.0,200.0,12,67 000 000 〒,р-н Байконур," Абая 45/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006460214
1287,3.0,77.3,5,33 000 000 〒,Алматы р-н," Кудайбердыулы 29/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1001715942
1288,3.0,90.0,1,54 600 000 〒,Есильский р-н," Кабанбай батыра 60а/12 — Анадолы, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005828507
1289,3.0,115.0,2,86 000 000 〒,Есильский р-н," Турар Рыскулов 18, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006392362
1290,3.0,98.0,18,96 000 000 〒,Есильский р-н," Турар Рыскулова 1/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006392125
1291,3.0,94.0,1,47 900 000 〒,Есильский р-н," Проспект Улы Дала 75 — Проспект Аль-Фараби, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1001799064
1292,4.0,115.0,9,68 500 000 〒,Есильский р-н," Улы Дала 47/1 — Ботанический сад, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005956888
1293,2.0,33.0,3,15 200 000 〒,Алматы р-н," Маяковского 4а, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005559170
1294,3.0,87.0,4,51 300 000 〒,Алматы р-н," Тауелсиздик 25/2 — Шарль де Голль, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006956932
1295,2.0,60.0,1,27 499 999 〒,Сарыарка р-н," Бейбарыс Султан — Шикарная локация.... Показ в любое время., Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007004632
1296,4.0,145.0,9,67 000 000 〒,Сарыарка р-н," Сейфуллина 4/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/678456147
1297,4.0,160.0,6,118 500 000 〒,Алматы р-н," Жумекен Нажимеденов 12, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005197534
1298,3.0,70.0,5,61 000 000 〒,Есильский р-н," Туран 52/2, 52/3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006988887
1299,2.0,60.0,5,22 000 000 〒,Алматы р-н," Иле 30/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006725270
1300,2.0,42.0,1,25 500 000 〒,р-н Байконур," Габдуллина 12/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/48017265
1301,2.0,41.0,3,29 999 999 〒,Нура р-н," Култегин 4, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006693308
1302,3.0,73.0,1,28 000 000 〒,р-н Байконур," Брусиловского 22 — Брусиловского Абая, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002380397
1303,3.0,64.0,15,46 900 000 〒,Есильский р-н," Е-36 9/1 — ГОРЯЩИЙ ВАРИАНТ! СРОЧНО!, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006076632
1304,3.0,63.0,10,60 000 000 〒,Есильский р-н," Бухар Жырау 33, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006570098
1305,3.0,90.0,13,40 500 000 〒,Сарайшык р-н," Кошкарбаева 32/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005948333
1306,1.0,39.66,3,22 000 000 〒,Нура р-н," Айтматов 77/7, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006467871
1307,3.0,96.8,9,41 000 000 〒,Алматы р-н," Кюйши Дины 30 — Жумабаева, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005419418
1308,2.0,39.0,4,30 000 000 〒,Нура р-н," E 15 13, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007045376
1309,3.0,75.0,6,80 000 000 〒,Есильский р-н," Сыганак — Проспект Кабанбай батыра, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006529681
1310,2.0,62.2,7,35 500 000 〒,Есильский р-н," Е-321 6/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003360089
1311,1.0,39.6,3,16 800 000 〒,Есильский р-н," Арнасай 7б, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004851502
1312,1.0,43.5,9,25 500 000 〒,Сарайшык р-н," Шамши Калдаяков 58/2 — Нұрлы жол, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005879735
1313,3.0,76.0,11,63 000 000 〒,Нура р-н," мкр Уркер, Кабанбай батыра 43В, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007019383
1314,4.0,86.0,3,33 000 000 〒,Алматы р-н," Мусрепова 2/2 — Абылай хана, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/684248127
